"Time","mqtt.meshlium3d4c.FARM1.BAT.value.mean","mqtt.meshlium3d4c.FARM1.CH4.value.mean","mqtt.meshlium3d4c.FARM1.CO.value.mean","mqtt.meshlium3d4c.FARM1.HUM.value.mean","mqtt.meshlium3d4c.FARM1.NH3.value.mean","mqtt.meshlium3d4c.FARM1.PM1.value.mean","mqtt.meshlium3d4c.FARM1.PM10.value.mean","mqtt.meshlium3d4c.FARM1.PM2_5.value.mean","mqtt.meshlium3d4c.FARM1.PRES.value.mean","mqtt.meshlium3d4c.FARM1.TC.value.mean"
2021-01-08 09:24:00,100,0,0.38,32.33,0,1.4,2.19,2.01,100513.39,24.36
2021-01-08 09:27:00,100,0,1.2650000000000001,32.09,0,1.53,8.555,3.54,100504.54000000001,24.375
2021-01-08 09:30:00,100,0,0.24,32.21,0,1.13,7.7,1.97,100488.72,24.37
2021-01-08 09:42:00,100,0,7.74,31.98,0,1.24,2.03,1.84,100475.6,24.48
2021-01-08 09:54:00,100,0,4.41,32.1,0,1.13,4.11,3.28,100436.38,24.54
2021-01-08 10:06:00,100,0,0.21,31.89,0,0.82,6.55,1.26,100418.84,24.64
2021-01-08 10:15:00,97,0,0,31.74,0,1.05,10.65,2.95,100408.88,24.68
2021-01-08 10:18:00,97,,,,,1.05,10.65,2.95,,
2021-01-08 10:27:00,97,0,0,33.16,0,1.27,3.84,2.79,100366.05,24.75
2021-01-08 10:39:00,96,0,0,31.71,0,1.46,14.7,5.67,100337.91,24.85
2021-01-08 10:51:00,96,0,0,31.34,0,1.32,2.61,2.34,100322.39,24.91
2021-01-08 11:03:00,96,0,0,31.57,0,1.3,8.31,4,100312.28,24.96
2021-01-08 11:15:00,96,0,0,31.68,0,1.04,2.65,1.78,100279.09,25.03
2021-01-08 11:27:00,96,,,,,0.97,2.07,1.83,,
2021-01-08 11:36:00,96,0,0,31.09,0,1.09,3.66,2.71,100284.86,25.18
2021-01-08 11:48:00,96,0,0,31.41,0,1.23,33.17,2.7,100267.33,25.17
2021-01-08 12:00:00,96,0,0,30.58,0,1.35,6.94,3.53,100247.05,25.17
2021-01-08 12:12:00,96,0,0,30.67,0,1.22,13.69,4.5,100261.94,25.18
2021-01-08 12:24:00,96,,,,,1.61,4.15,3.64,,
2021-01-08 12:33:00,96,0,0.1,30.15,0,1.16,3.53,2.57,100218.58,25.2
